epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,220.27,0.34066,0.97765,1,0.07478,0.0801522,9.97375e-05,9.97375e-05
2,425.239,0.19628,0.97979,1,0.06058,0.0602522,0.000199689,0.000199689
3,625.501,0.14553,0.98702,1,0.04182,0.0403519,0.000299445,0.000299445
4,822.708,0.14336,0.98488,1,0.05105,0.0204514,0.000398859,0.000398859
5,1017.76,0.10672,0.98554,1,0.04141,0.00055028,0.000497787,0.000497787
6,1212.27,0.10241,0.99129,1,0.03203,0.000496953,0.000496953,0.000496953
7,1407.59,0.09856,0.98735,1,0.03974,0.000495616,0.000495616,0.000495616
8,1601.98,0.08543,0.98472,1,0.0641,0.000494039,0.000494039,0.000494039
9,1795.68,0.07495,0.99261,1,0.02717,0.000492224,0.000492224,0.000492224
10,1990.03,0.06697,0.99261,1,0.02128,0.000490173,0.000490173,0.000490173
11,2184.33,0.05939,0.99277,1,0.02177,0.000487886,0.000487886,0.000487886
12,2379.51,0.06304,0.98948,1,0.0298,0.000485368,0.000485368,0.000485368
13,2572.86,0.0629,0.99228,1,0.02221,0.00048262,0.00048262,0.00048262
14,2766.22,0.0557,0.99556,1,0.01659,0.000479644,0.000479644,0.000479644
15,2961.07,0.0479,0.99359,1,0.02335,0.000476445,0.000476445,0.000476445
16,3154.66,0.05287,0.99573,1,0.01363,0.000473024,0.000473024,0.000473024
17,3348.71,0.05581,0.99523,1,0.0168,0.000469386,0.000469386,0.000469386
18,3542.15,0.04604,0.99556,1,0.01382,0.000465534,0.000465534,0.000465534
19,3735.62,0.0387,0.99622,1,0.01192,0.000461471,0.000461471,0.000461471
20,3929.71,0.03898,0.99606,1,0.01338,0.000457202,0.000457202,0.000457202
21,4123.24,0.04878,0.9954,1,0.01256,0.000452732,0.000452732,0.000452732
22,4317.42,0.0388,0.99425,1,0.01545,0.000448063,0.000448063,0.000448063
23,4511.09,0.03798,0.99441,1,0.01632,0.000443202,0.000443202,0.000443202
24,4704.54,0.03133,0.99606,1,0.00916,0.000438152,0.000438152,0.000438152
25,4898.06,0.03889,0.9954,1,0.01144,0.00043292,0.00043292,0.00043292
26,5091.51,0.02956,0.99688,1,0.00684,0.000427509,0.000427509,0.000427509
27,5285.75,0.03197,0.99573,1,0.01164,0.000421925,0.000421925,0.000421925
28,5479.47,0.0365,0.99622,1,0.01015,0.000416175,0.000416175,0.000416175
29,5674.62,0.03079,0.99671,1,0.0092,0.000410262,0.000410262,0.000410262
30,5868.29,0.02664,0.99622,1,0.01416,0.000404194,0.000404194,0.000404194
31,6063.81,0.02154,0.99737,1,0.00781,0.000397977,0.000397977,0.000397977
32,6259.08,0.03044,0.99573,1,0.01253,0.000391616,0.000391616,0.000391616
33,6452.58,0.04276,0.99606,1,0.01155,0.000385117,0.000385117,0.000385117
34,6645.97,0.03336,0.99589,1,0.01107,0.000378488,0.000378488,0.000378488
35,6839.57,0.03347,0.99852,1,0.00611,0.000371734,0.000371734,0.000371734
36,7033.9,0.02607,0.99803,1,0.0048,0.000364863,0.000364863,0.000364863
37,7228.56,0.02192,0.9977,1,0.00613,0.00035788,0.00035788,0.00035788
38,7422.21,0.02499,0.99786,1,0.0064,0.000350794,0.000350794,0.000350794
39,7617.05,0.02132,0.9977,1,0.00552,0.000343611,0.000343611,0.000343611
40,7811.45,0.02755,0.99786,1,0.00688,0.000336338,0.000336338,0.000336338
41,8004.59,0.02072,0.9977,1,0.00624,0.000328982,0.000328982,0.000328982
42,8198.46,0.02118,0.99704,1,0.00796,0.00032155,0.00032155,0.00032155
43,8391.95,0.02223,0.99869,1,0.00385,0.000314051,0.000314051,0.000314051
44,8585.84,0.01447,0.99836,1,0.0059,0.00030649,0.00030649,0.00030649
45,8779.78,0.01511,0.99836,1,0.00384,0.000298877,0.000298877,0.000298877
46,8973.25,0.0219,0.99869,1,0.00352,0.000291218,0.000291218,0.000291218
47,9167.25,0.01365,0.99885,1,0.00274,0.00028352,0.00028352,0.00028352
48,9361.08,0.01319,0.99934,1,0.00282,0.000275792,0.000275792,0.000275792
49,9554.61,0.02067,1,1,0.00142,0.000268041,0.000268041,0.000268041
50,9748.32,0.01577,0.99869,1,0.0025,0.000260274,0.000260274,0.000260274
51,9943,0.01324,0.99934,1,0.00273,0.0002525,0.0002525,0.0002525
52,10136.7,0.0112,0.99951,1,0.00162,0.000244726,0.000244726,0.000244726
